File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF446ZSX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BNP	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										YY1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF882OBA/, /files/ENCFF481OXC/, /files/ENCFF075XYL/, /files/ENCFF554UVL/, /files/ENCFF356LFX/, /files/ENCFF676OVC/, /files/ENCFF519KIS/	614197	ENCODE Processing Pipeline	6942c2126255ef3a76a197ec93a3459e		https://www.encodeproject.org/files/ENCFF446ZSX/@@download/ENCFF446ZSX.bed.gz				released	s3://encode-public/2021/01/06/ba34b25a-b21b-46dc-a3c9-062df3e80ff0/ENCFF446ZSX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/06/ba34b25a-b21b-46dc-a3c9-062df3e80ff0/ENCFF446ZSX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking, low read depth		
ENCFF712AVW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BGM	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										USF1-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF279DUF/, /files/ENCFF875HPK/, /files/ENCFF789VLZ/, /files/ENCFF527WLW/	397487	ENCODE Processing Pipeline	eee0cc3fbc269da1d012825aa1e37c53		https://www.encodeproject.org/files/ENCFF712AVW/@@download/ENCFF712AVW.bed.gz				released	s3://encode-public/2020/12/26/2c7c3212-3979-4bbc-94c4-77284dd300ea/ENCFF712AVW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/2c7c3212-3979-4bbc-94c4-77284dd300ea/ENCFF712AVW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, mild to moderate bottlenecking, borderline replicate concordance, low read depth		
ENCFF766VUQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BUD	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										TEAD4-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF342QZE/, /files/ENCFF714PUR/, /files/ENCFF634HDG/, /files/ENCFF149MYF/, /files/ENCFF590OUK/	240286	ENCODE Processing Pipeline	83e0392bfba9f31c8db52ac41a32cf17		https://www.encodeproject.org/files/ENCFF766VUQ/@@download/ENCFF766VUQ.bed.gz				released	s3://encode-public/2020/12/26/d09a963c-78aa-4ce0-b13d-0dd0af9f0e23/ENCFF766VUQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/d09a963c-78aa-4ce0-b13d-0dd0af9f0e23/ENCFF766VUQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth		
ENCFF749GMT	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR992KLV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:MYNN'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55892/'], '@type': ['Target', 'Item'], 'label': 'MYNN', 'title': 'MYNN (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '53c13b17-fad4-4cc9-a86d-24f051348d42', 'schema_version': '14', 'name': 'MYNN-human', '@id': '/targets/MYNN-human/', 'status': 'released'}				MYNN-human	DNA				formaldehyde		2020-06-30	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF198XCA/, /files/ENCFF356LFX/, /files/ENCFF726OAP/, /files/ENCFF499QOU/	21577	ENCODE Processing Pipeline	253107ac11b7a36df05a41da1cc2747e		https://www.encodeproject.org/files/ENCFF749GMT/@@download/ENCFF749GMT.bed.gz				released	s3://encode-public/2020/06/27/d8006cdd-e580-4e50-9152-8075fc52ae3b/ENCFF749GMT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/06/27/d8006cdd-e580-4e50-9152-8075fc52ae3b/ENCFF749GMT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	missing genetic modification reagents		
ENCFF727RNJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EBR	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										MXI1-human	DNA						2012-05-14	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF972YCC/, /files/ENCFF203UEY/, /files/ENCFF082XGF/	133509	ENCODE Processing Pipeline	4c073d6fcdff7e42a35ff630c517ca95		https://www.encodeproject.org/files/ENCFF727RNJ/@@download/ENCFF727RNJ.bed.gz				released	s3://encode-public/2021/01/02/2537c9c4-ee42-4ae6-a386-3cf89b82548e/ENCFF727RNJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/2537c9c4-ee42-4ae6-a386-3cf89b82548e/ENCFF727RNJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		
ENCFF245XOL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR924LSO	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:E2F4'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1874/'], '@type': ['Target', 'Item'], 'label': 'E2F4', 'title': 'E2F4 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '9ce9bc82-0a83-4234-adcc-d582f01c23bf', 'schema_version': '14', 'name': 'E2F4-human', '@id': '/targets/E2F4-human/', 'status': 'released'}				E2F4-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF910OOI/, /files/ENCFF356LFX/, /files/ENCFF657NDS/, /files/ENCFF323USE/	393135	ENCODE Processing Pipeline	accf7c0c96ca24fea4ccfe994b12222e		https://www.encodeproject.org/files/ENCFF245XOL/@@download/ENCFF245XOL.bed.gz				released	s3://encode-public/2020/07/01/f2f5a7b5-7e8f-4de1-a801-13529854d66e/ENCFF245XOL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/f2f5a7b5-7e8f-4de1-a801-13529854d66e/ENCFF245XOL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF718TWQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZD	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										EP300-human	DNA						2012-05-14	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF863XTX/, /files/ENCFF363VYY/, /files/ENCFF791IGI/, /files/ENCFF278NPZ/, /files/ENCFF356LFX/	351945	ENCODE Processing Pipeline	da0dd7f0aa0c074d1d3661c1bfb0c208		https://www.encodeproject.org/files/ENCFF718TWQ/@@download/ENCFF718TWQ.bed.gz				released	s3://encode-public/2020/12/26/0414fafe-a881-4f2b-aa61-3c594e080823/ENCFF718TWQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/0414fafe-a881-4f2b-aa61-3c594e080823/ENCFF718TWQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	improper control_type of control experiment, low read length, inconsistent platforms, low read depth		
ENCFF749DWZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BSV	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										NFIC-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF309OCP/, /files/ENCFF499VYQ/, /files/ENCFF356LFX/, /files/ENCFF835YES/, /files/ENCFF802NGE/, /files/ENCFF830FFS/, /files/ENCFF263NLW/	694155	ENCODE Processing Pipeline	207edb94d5b6ebad31806f6105766a7d		https://www.encodeproject.org/files/ENCFF749DWZ/@@download/ENCFF749DWZ.bed.gz				released	s3://encode-public/2020/07/01/05ee0c08-cb87-40f8-9b6e-0e2989b40e9d/ENCFF749DWZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/05ee0c08-cb87-40f8-9b6e-0e2989b40e9d/ENCFF749DWZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	borderline replicate concordance		
ENCFF517TKD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BTI	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										GATA3-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF253KCH/, /files/ENCFF634HDG/, /files/ENCFF342QZE/, /files/ENCFF477CIR/, /files/ENCFF149MYF/, /files/ENCFF356LFX/	422666	ENCODE Processing Pipeline	cadeb10905b7b949dda0efc955e1c63d		https://www.encodeproject.org/files/ENCFF517TKD/@@download/ENCFF517TKD.bed.gz				released	s3://encode-public/2021/01/05/3a5c3b00-9e75-4a9e-ba65-c7dc9e16db84/ENCFF517TKD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/05/3a5c3b00-9e75-4a9e-ba65-c7dc9e16db84/ENCFF517TKD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance		
ENCFF376AEL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DZI	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										MXI1-human	DNA						2011-10-29	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF863XTX/, /files/ENCFF356LFX/, /files/ENCFF278NPZ/, /files/ENCFF790FNR/, /files/ENCFF499EUU/	394855	ENCODE Processing Pipeline	626d404caf55e38aa32eb8edb970b975		https://www.encodeproject.org/files/ENCFF376AEL/@@download/ENCFF376AEL.bed.gz				released	s3://encode-public/2021/01/02/cd650945-af54-422f-9ddb-bad4b3288c54/ENCFF376AEL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/02/cd650945-af54-422f-9ddb-bad4b3288c54/ENCFF376AEL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, improper control_type of control experiment, inconsistent platforms, mild to moderate bottlenecking		
