	Chrom	Start	End	Strand	Site Selection Category	Cluster ID	Site Delta	Site Std	Intercept	r Age	r Sex	r CT-PC1	r CT-PC2	r Age / Std	r Sex / Std	r CT-PC1 / Std	r CT-PC2 / Std
cg02615131	chrX	152066734	152066735	+	Sex	1	0.6574041606314928	0.26642641511430376	0.00979705792794816	0.006265877423378829	0.5411826488703564	0.013705917802775025	0.02171100518858249	0.023518228928954388	2.031264987888589	0.051443539473722356	0.08148968704648865
cg03670113	chrX	153640588	153640589	+	Sex	1	0.6349962537969546	0.25433674334500744	0.03968323662701673	-0.022621332822620917	0.5164427692057678	0.045150616505622854	-0.012081796285104862	-0.08894244899540571	2.030547228110151	0.17752297962066813	-0.04750314927448734
cg04317640	chrX	73640430	73640431	-	Sex	1	0.6209393091866915	0.26326912180968115	0.018618472987153745	-0.011933064364081836	0.5353276688823674	0.028074687728648656	0.004495672120962191	-0.04532648676022219	2.0333857051012574	0.10663874113176106	0.01707633652613518
cg06297686	chrX	48755001	48755002	-	Sex	1	0.5570722694492632	0.2297929810457941	0.011460759572774593	-0.022137065039116464	0.46720554004315584	0.020579831697300682	0.013122934976614209	-0.09633481814096358	2.033158445122609	0.08955813882408988	0.0571076406115251
cg06834235	chrX	48334620	48334621	+	Sex	1	0.5852449961831965	0.25012029964893984	0.004224308025588819	-0.0050811866629309884	0.5083850243150279	0.023327515853437314	0.009181846774686975	-0.02031497111614997	2.032562031264873	0.09326518433801256	0.03670972243186297
cg07446674	chrX	135333560	135333561	-	Sex	1	0.6318066800846578	0.2702005238108604	-0.003620223573506942	-0.007413831016887045	0.5485022798897663	0.05202172430325852	-0.0037293733159414755	-0.027438255530832	2.0299822966802106	0.19253006459629804	-0.013802243102060106
cg07648454	chrX	124337760	124337761	+	Sex	1	0.6737732952073239	0.2760805362918836	0.017549213509990835	-0.016624642758892104	0.5612131490323458	0.010697145454585388	0.023535732922851493	-0.06021664178932141	2.0327878110139874	0.038746467238371086	0.08524951899531431
cg08479532	chrX	109560743	109560744	+	Sex	1	0.6607899707909826	0.26206189478477876	0.038287062420143125	-0.02256776319262927	0.5327886019490894	0.013843644101622615	0.012024374808450755	-0.08611615668566884	2.033063991949871	0.052825856704546315	0.045883720784076244
cg10315562	chrX	149533877	149533878	+	Sex	1	0.590738642511305	0.24053827024404856	0.010343319124920036	-0.013384652489855736	0.4882483828441894	0.030516367675470446	0.0021509380019194	-0.05564458610380691	2.029815805812588	0.12686699561158704	0.008942186204869074
cg10717149	chrX	129473837	129473838	+	Sex	1	0.6702567361600178	0.28230499861361447	0.029437005647387826	-0.030824735202880326	0.5747414484051632	0.0016022826338608909	0.022950711106905997	-0.10918947717631299	2.0358883166351616	0.005675714711852853	0.08129757255314563
cg11152253	chrX	48958090	48958091	-	Sex	1	0.7074803941471548	0.2831431709294966	0.028956973589529644	-0.005878266562300608	0.5742792728056413	0.03896675846292347	-0.01419050263888405	-0.020760756980306307	2.0282292909287167	0.1376221023978936	-0.05011776407073411
cg11673471	chrX	128977577	128977578	-	Sex	1	0.774208859376946	0.3186392014923018	0.035212059446769695	-0.004574610003737397	0.6484314813692633	-0.013019783428495912	0.0256998783769547	-0.014356708095905514	2.035002216715413	-0.04086058265122305	0.08065510538751335
cg12413138	chrX	153640474	153640475	+	Sex	1	0.6925903100044123	0.2913443159739111	0.02735794834750055	-0.017075335627443497	0.592796503662337	0.0026294841891675025	0.003750258273194418	-0.058608782431068734	2.034693903949099	0.009025349200232772	0.012872254811829728
cg13023833	chrX	47510182	47510183	+	Sex	1	0.703971835447578	0.3000009149856171	0.017801650263128077	-0.01581987852084558	0.6095130183029244	0.03257384224665147	0.0007063613856054252	-0.05273276757040568	2.0317038644103675	0.10857914299432438	0.002354530770812116
cg13130271	chrX	48694011	48694012	-	Sex	1	0.7149260293208167	0.29514117462605166	0.015593120148568174	-0.006219672375349536	0.6000273212282539	0.021794662127345377	0.011189032273919708	-0.02107355025346753	2.033018002278054	0.07384487154311677	0.037910780453104795
cg14295915	chrX	48334556	48334557	+	Sex	1	0.6205145709092955	0.2592802205256434	0.014937906745965235	-0.012941250651641463	0.5272639919267323	0.009329438763790998	0.005333464679892097	-0.04991221708083028	2.0335681250879865	0.035982068917086156	0.0205702720750525
cg15165114	chrX	57936654	57936655	-	Sex	1	0.65635165652055	0.27725833828459445	0.006641703872710902	0.0009913116561436393	0.5631818018875283	0.027873541175509664	0.0073644734508999665	0.0035754079111810087	2.031252893499798	0.10053274266867532	0.026561774468043708
cg16221895	chrX	68835890	68835891	-	Sex	1	0.6887533301120881	0.28340772538786174	0.016013621727353988	-0.016562312114829832	0.5757420509160756	0.02437444649048176	0.008939943888911062	-0.058439875243920185	2.03149737759666	0.08600487674471033	0.03154446081763005
cg16590821	chrX	118107875	118107876	+	Sex	1	0.7140931010126691	0.2794199159415977	0.04656263928243437	-0.012575093346571153	0.5685084769973383	-0.0008874664690155798	0.031223825241041836	-0.04500428433741103	2.034602562532313	-0.003176103127885385	0.11174516725417671
cg17363084	chrX	118603273	118603274	+	Sex	1	0.5837885179389632	0.25079417056637715	0.00287205449122252	-0.01250230466188359	0.5085898067718131	0.05888519272571063	-0.012770043579487633	-0.049850858310020535	2.0279171785502315	0.2347949021013055	-0.05091842266767446
cg17547524	chrX	117629323	117629324	-	Sex	1	0.7121491681946456	0.2615723285181099	0.022357826234552014	-0.014792347971753094	0.5313535044786051	0.025371277278102594	-0.010397626588200148	-0.05655165458653991	2.031382705842361	0.09699526483492699	-0.03975048372702876
cg18102950	chrX	122866937	122866938	-	Sex	1	0.6004609177403489	0.24909431793965967	0.012247318533762763	-0.0037996254037073593	0.5057459015121067	0.0216235774521365	0.004549471849079778	-0.015253761848665597	2.030338972383216	0.08680879447990689	0.01826405309727634
cg18689730	chrX	118370301	118370302	+	Sex	1	0.5901208750463702	0.24461393818412047	0.017381554496996354	-0.02425905727783362	0.49690473325722145	0.035758947507640054	0.007147039524000698	-0.09917283315055364	2.031383562792739	0.14618524100913807	0.02921762993988157
cg19834421	chrX	70288179	70288180	-	Sex	1	0.5980421702103074	0.24341541158973873	0.03187717068959295	-0.02608374726975975	0.49446650995399555	0.03185685937558627	0.004832310542067009	-0.10715733691391018	2.0313689536938093	0.1308744551856026	0.019852114171848585
cg20445038	chrX	150565465	150565466	-	Sex	1	0.5872875866334513	0.24794905274937198	0.0017782472280009065	-0.013777348398432617	0.5028473311879644	0.048068786909585576	0.003823814436023587	-0.055565239091108054	2.0280268289479806	0.19386557995111084	0.015421774730023735
cg20749341	chrX	118108665	118108666	-	Sex	1	0.6886432848546996	0.2910027969560292	0.021371129458545468	-0.018284170017740266	0.592212956408493	-0.0020085495003833997	0.03220799850187295	-0.06283159546574056	2.035076509927762	-0.006902165619689537	0.1106793434247974
cg21290550	chrX	47518558	47518559	-	Sex	1	0.7029337269174747	0.2979781263792992	0.03404868153137747	-0.0229363300225291	0.6069737361196009	-0.008955899419099245	0.027103716266466127	-0.0769732003527441	2.036974134628185	-0.030055559875892347	0.0909587445085333
cg22164912	chrX	54556669	54556670	+	Sex	1	0.5518588806976279	0.23323328905114094	0.00797675010106852	-0.01407218185503501	0.4740982608181912	0.021586011793143525	0.011404924845895392	-0.060335220209279	2.0327212412385776	0.09255116146139145	0.048899215426296376
cg23696472	chrX	53111785	53111786	+	Sex	1	0.755531764819602	0.3208442668590207	0.028795045299053024	-0.01383889655341607	0.6529960072453526	-0.009738277943752538	0.02728702350351775	-0.04313275312317454	2.035242872306893	-0.03035203975775434	0.085047564572839
cg23951868	chrX	49687083	49687084	-	Sex	1	0.6022277337424249	0.25966291327373203	0.009237397683462933	-0.012313508724324658	0.52759993759363	0.03317053478588866	0.0009801684280301703	-0.0474211298374519	2.031864816356903	0.12774459921013392	0.0037747725143824993
cg24186901	chrX	68835894	68835895	-	Sex	1	0.7147295537207413	0.3071205105993406	0.011339166123002509	-0.015396218354533593	0.624665583701393	0.029214100341998284	0.009531765004646309	-0.05013086988064759	2.0339429056117693	0.09512259628960452	0.031035911558121687
cg24740922	chrX	151999329	151999330	+	Sex	1	0.563028761120255	0.230585329274125	0.004335734132339786	-0.009465295989224522	0.46754443265241463	0.04459617822972463	-0.0024186621879075387	-0.041048994829900765	2.0276417156469972	0.19340423074664778	-0.010489228415014118
cg25132467	chrX	129065734	129065735	-	Sex	1	0.6690254192034095	0.28960784014893065	0.008897147695703655	-0.009901843637888137	0.5890528419878679	0.03199245379571	0.0027377458317557335	-0.03419052340846891	2.033967180187345	0.11046818960169691	0.009453286314168323
cg25206026	chrX	134049256	134049257	+	Sex	1	0.7080326137737044	0.2936576283486528	0.0477415986098394	-0.017019027292539932	0.5979110277150171	-0.001744304882836445	0.0032746846603677326	-0.057955338631059304	2.036082056091291	-0.005939927025377569	0.011151369296219259
cg26023405	chrX	117629910	117629911	+	Sex	1	0.7074293334855654	0.304292078614689	0.006544199766132297	-0.00666570937763303	0.6179485198107283	0.033217776183963765	0.0010360585490080676	-0.021905628986397342	2.030774256838963	0.10916411736772781	0.0034048160363713597
cg26505478	chrX	119695212	119695213	+	Sex	1	0.6522487008265542	0.2803835979020855	0.02265692662292551	-0.015439290838961894	0.5714686657473156	-0.005066757507844966	0.01660097304300434	-0.05506488594369755	2.0381672466692637	-0.018070805659660447	0.05920807482041682
cg26680189	chrX	48659964	48659965	+	Sex	1	0.5775552542074239	0.23815751710589267	0.006953278583029465	-0.016246454037202648	0.48383868418743864	0.02200709009055482	0.012235670099718321	-0.06821726324086147	2.031591066564185	0.0924056076750655	0.051376375805420996
cg27069132	chrX	135991542	135991543	+	Sex	1	0.6093299780407372	0.24897687265976504	0.003398218161815736	-0.004119487881681877	0.5051594881940539	0.037697413329777746	-0.008727463368098543	-0.016545664814865316	2.0289414145078877	0.15140929728558558	-0.03505330946953014
cg03601886	chr1	53649217	53649218	+	Cell Type PC2	2	0.26946819066459793	0.03503953770581729	0.9626182248602811	-0.02182907471024599	0.011331944353213885	0.1035209654818357	-0.18983534187448364	-0.6229840956669332	0.32340450517223995	2.9544044316728835	-5.4177467599113625
cg06746829	chr1	17424523	17424524	-	Mixed	3	0.5410552448751296	0.08810128563209234	0.668199983342321	-0.12835740603255363	-0.05487757775856117	-0.3253409340838477	-0.21886467649617963	-1.4569299995072642	-0.6228919063420695	-3.6928057490836084	-2.4842393039546584
cg09036468	chr1	151806892	151806893	-	Mixed	4	0.4567983212536292	0.0770770946481836	0.48222347223770445	-0.19807500970504965	-0.040068507228885136	-0.18495180989857135	-0.16762448493057952	-2.5698297348798356	-0.5198497350189027	-2.3995690385422423	-2.174763925595498
cg10501210	chr1	207997019	207997020	+	Age	4	0.795306744844607	0.185998264374791	1.1846905641614147	-0.6637970252936612	-0.025902583072726557	-0.43162091193749563	0.21406901023345126	-3.5688345131871455	-0.1392624988184418	-2.3205641912215325	1.1509193967643538
cg12656815	chr1	156628999	156629000	+	Cell Type PC2	2	0.37332396761854	0.05024983924439966	0.7087491048474981	-0.061365663680214226	-0.005380733854089548	0.025905617379668355	-0.2540254028567256	-1.221211144213828	-0.10707962323858042	0.5155363234829758	-5.055248069973412
cg13693136	chr1	228666637	228666638	+	Mixed	5	0.2521607085959281	0.04312668125220194	0.2732839614861859	-0.048917229687913	-0.015213593600864661	-0.13773745580228774	-0.19726739209690905	-1.1342683523883583	-0.35276522929962045	-3.1937875070147026	-4.5741380131548395
cg14204586	chr1	155931857	155931858	+	Mixed	3	0.440808428084372	0.07433880894152367	0.46548249713522316	-0.16608678537870497	-0.02567017413988326	-0.17005595168904827	-0.3069864305308826	-2.2341867961504738	-0.34531322878842347	-2.2875797192663865	-4.129558098951572
cg16290275	chr1	208042909	208042910	+	Age	6	0.43587482865117516	0.07256171446315947	0.4214306653690714	-0.23436360550448576	-0.06252205995258134	0.0166829053722462	-0.05102638609652116	-3.2298520953977077	-0.8616397836675236	0.22991332957983415	-0.7032136226939335
cg16298481	chr1	89989716	89989717	-	Mixed	3	0.2717004077114024	0.04813762433499349	0.29533722682082025	-0.08502725407110355	-0.018920013379519957	-0.12187332856975205	-0.17875384069012734	-1.766336732352894	-0.39304003138696886	-2.531768658162813	-3.713391409724863
cg21826784	chr1	11795936	11795937	+	Mixed	3	0.48156341626617305	0.07126384370154965	0.5977514006640505	-0.09610158532459193	-0.044024541029742514	-0.26655152797244486	-0.1682821872047463	-1.3485321634777634	-0.6177682642844199	-3.740347336424244	-2.3613964454331975
cg24004483	chr1	944782	944783	-	Mixed	3	0.6032869279080652	0.10598445690444741	0.6788215871143379	-0.1959143208211204	-0.040580649917836054	-0.3311990669703095	-0.38851012400779017	-1.8485193635303638	-0.38289246464151266	-3.1249777245064263	-3.6657273656462657
cg00034336	chr2	8684125	8684126	+	Mixed	5	0.3878745619509044	0.07717280846762514	0.4785827190246321	-0.08923697687562028	-0.03467666492044719	-0.205614995477719	-0.3609551328619081	-1.156326673183809	-0.4493378640612054	-2.6643451179307127	-4.677232046224323
cg00573770	chr2	145278484	145278485	+	Age	4	0.74745302262418	0.15469083542508028	0.7875615095085049	-0.5814478995710597	-0.0458260115127818	-0.19329121830604243	0.029230586164715654	-3.7587740603590314	-0.2962425756306437	-1.2495324482209358	0.18896133106005872
cg22242842	chr2	85167148	85167149	-	Age	6	0.6208386421663118	0.07468217726519405	0.31609563153538056	-0.22546743468821653	-0.0141967811698131	-0.008736457059114494	-0.1583908054193066	-3.019025997161127	-0.19009597322532226	-0.11698182054992333	-2.1208648598562663
cg22454769	chr2	106015766	106015767	-	Age	7	0.8586091488205475	0.13459952005999992	0.1775750032021695	0.5635706751081606	-0.009871251285258939	0.12655937477394058	0.0576482753560095	4.1870184593298685	-0.07333793821002235	0.9402661667554586	0.4282948061799317
cg23606718	chr2	131513926	131513927	+	Age	7	0.2928337135129368	0.05490771312252426	0.07040697794377491	0.19534024804039438	-0.03256252652974863	-0.03281940398248725	0.010038485858756642	3.557610341638174	-0.5930410260774605	-0.5977193752224232	0.1828246941619328
cg24079702	chr2	106015770	106015771	-	Age	7	0.6902494364531504	0.09244272607414449	0.12520610409798238	0.3491650197213603	-0.0394087817841461	0.15598975204110788	0.007276938242957219	3.7770956629006105	-0.4263048425523274	1.6874205106845828	0.07871834325959501
cg00664406	chr3	51740874	51740875	+	Age	7	0.583675047835944	0.09380960235794042	0.30113754370204876	0.32470720377382223	-0.06522475619755906	-0.009870807809089189	0.0584625112923996	3.4613429287853466	-0.6952886970854767	-0.10522172102836638	0.6232039132766999
cg01328500	chr3	197639791	197639792	+	Cell Type PC2	2	0.45611645657531097	0.09440480246601445	0.9235987994011419	-0.12513701158094515	-0.004601317199503463	0.28972892995494	-0.4644642400836323	-1.3255365014506995	-0.0487402873509526	3.0690062622528327	-4.919921740748714
cg02352281	chr3	46139304	46139305	-	Mixed	4	0.5013949972080418	0.08162681714915075	0.4142695858409279	-0.20930265466185377	-0.033879756210528356	-0.18304704311489992	-0.203436677485279	-2.564140829837947	-0.4150566859494514	-2.2424865933511944	-2.492277471918989
cg07553761	chr3	160167976	160167977	+	Age	7	0.43207030195562335	0.07022421034477085	0.1324428754393234	0.2586334388071509	-0.047108998823590216	0.07932593023510516	-0.046858485730820416	3.682966850568647	-0.6708370032543645	1.1296094302185637	-0.6672696709691044
cg07638500	chr3	123371419	123371420	+	Mixed	3	0.421174753055629	0.06458559307141708	0.5793702667685634	-0.09550358210341935	-0.054312313703600845	-0.21458369687927692	-0.15212692290987065	-1.47871340281437	-0.8409354334416917	-3.3224700227184694	-2.355431229711751
cg10630880	chr3	52008681	52008682	-	Age	6	0.3445391915318268	0.04570527581357913	0.21362591964577027	-0.14682552449994504	-0.012176348724870938	0.02691761800447103	-0.049056747001363636	-3.212441493599364	-0.26641013555055104	0.5889389687584764	-1.0733278845412586
cg12934382	chr3	51741134	51741135	+	Age	7	0.7044796561666152	0.14353356904620415	0.13548233081670313	0.533527237879457	-0.06043604228574087	0.038258437152020354	0.06115041103044794	3.717090304552463	-0.4210585905955297	0.26654696463170074	0.42603560572484145
cg18274619	chr3	127494851	127494852	-	Mixed	5	0.3156683374620797	0.05418423130601319	0.4148779450319591	-0.09110214822332657	-0.04782056881715524	-0.07856780711664281	-0.21107765969118372	-1.6813406045905526	-0.8825550840996846	-1.4500123970186065	-3.895555120069757
cg21333217	chr3	129277320	129277321	-	Cell Type PC2	2	0.27263449053009203	0.03684758974810594	0.9650283012087331	-0.007658874522833102	0.008518448942763074	0.1251502000102579	-0.21375995172468415	-0.2078527951268994	0.2311806281223847	3.3964283923534224	-5.801192240414367
cg24130739	chr3	39323220	39323221	-	Mixed	5	0.3917146779303918	0.06285988414219693	0.5843381627063142	-0.07883720383109863	-0.04210748028386774	-0.14174100521203692	-0.29572975707157156	-1.2541735465620492	-0.6698625181779742	-2.2548721994364644	-4.704586416395452
cg27214730	chr3	184297521	184297522	-	Mixed	3	0.5117444271787809	0.09543934363778378	0.6139458300660194	-0.15270932149650357	-0.0513713303010605	-0.3724465323113565	-0.2428357673961704	-1.600066761524196	-0.5382615632398686	-3.902442306444231	-2.54439896734614
cg02662828	chr4	48492847	48492848	+	Age	7	0.47697619430493493	0.07300702929711626	0.2594824850562784	0.23548788335558607	-0.041057674192924096	-0.07506517482011096	0.1384629657899047	3.225550821924591	-0.5623797405292569	-1.0281910597213684	1.8965703319662932
cg12226453	chr4	964010	964011	+	Cell Type PC2	2	0.33318264010143506	0.052173968026928294	0.9234783525831466	-0.03031923458387866	0.012014988218554318	0.193003845607647	-0.2781298355647932	-0.5811180504467313	0.2302870315010942	3.699236475708209	-5.330816230447403
cg17953764	chr4	48492844	48492845	+	Age	7	0.52503566239851	0.07812640484060791	0.3099942391309882	0.2554700245073477	-0.033175232316058956	-0.09510761208508194	0.14633922936517066	3.269957513449557	-0.42463533786998736	-1.2173555442506125	1.8731084537133038
cg26832294	chr4	122078347	122078348	+	Cell Type PC2	8	0.4710366588575119	0.0877286280875009	0.05353703675498492	0.08849290688777309	-0.04378636533259564	-0.22845014742947156	0.4444227747393773	1.0087118517288325	-0.49911147919608334	-2.604054712922382	5.065880823943903
cg06782035	chr5	16179134	16179135	+	Age	7	0.3676994023624306	0.05380596511999206	0.00306624575487624	0.17498228813993214	-0.024319557233455295	-0.04231282529011406	0.0937466684543301	3.2520983082397303	-0.4519862654488314	-0.7863965490769047	1.7423099510484896
cg13904970	chr5	123987666	123987667	-	Cell Type PC2	8	0.4029173575333766	0.0790672200946697	-0.020966370797786613	0.12884823856619623	-0.024312856343280287	-0.17321205538950168	0.37082059958149205	1.629603752502265	-0.30749603077191445	-2.1906936298267397	4.689941029133145
cg24711224	chr5	176561864	176561865	+	Age	6	0.23963231347645597	0.039451932467282014	0.19252729528361123	-0.12653410587821562	-0.014801196212182108	0.045190575845692686	-0.07276959143096193	-3.2072980451122883	-0.37517037281904825	1.1454591199853088	-1.8445127242198
cg03738025	chr6	105388693	105388694	+	Age	7	0.6084070014799877	0.09915690370960302	0.06834929745653343	0.323759390521861	-0.04495511390337362	-0.1487348939851158	0.23127664261189093	3.265122027912878	-0.4533735143145647	-1.4999953449606487	2.3324310659116776
cg04861640	chr6	28234604	28234605	+	Age	6	0.3791132144915882	0.0627751614554982	0.2821024584778896	-0.2047263525274973	-0.03615364511394878	-0.025731534613530376	-0.0034096132286262557	-3.2612636555722663	-0.5759227738438932	-0.40989993521198126	-0.05431468672594903
cg16867657	chr6	11044876	11044877	+	Age	7	0.7986741811352833	0.12412712549446035	0.3247102396254585	0.5477803506865601	-0.001888033716190213	0.03148452921200275	0.0030460134633102506	4.413059180291795	-0.015210484482495115	0.25364745285596635	0.024539466705415576
cg22483030	chr6	33043848	33043849	+	Age	6	0.5781703400847833	0.08751264992149377	0.40704994944139516	-0.29246914513189587	-0.04555243927887155	0.07800431749685881	-0.13742244712388485	-3.3420213579895637	-0.5205240536052324	0.8913490514438228	-1.5703152315369764
cg23746497	chr6	105388667	105388668	+	Age	7	0.6300105968964926	0.09665482893949374	0.19018621808780112	0.31157193263605293	-0.04313341713205959	-0.11004619974555443	0.17163947440066252	3.2235526776535712	-0.44626241239391423	-1.138548388662958	1.77579823257573
cg24125828	chr6	32117048	32117049	-	Age	7	0.771611499499082	0.11133192639451701	0.42784974128226483	0.3589832888933121	0.022031423889981847	-0.12728243402778947	0.11957175465529644	3.2244415462750107	0.19788954169274908	-1.1432698431602635	1.0740113687746737
cg24724428	chr6	11044887	11044888	+	Age	7	0.5638726814285119	0.09418807927198657	0.03355057996277816	0.3735537180192923	-0.03752821931848907	-0.009064984999323778	0.02721355643446324	3.9660402983755794	-0.3984391613945006	-0.09624344258201566	0.2889278202168106
cg25470384	chr6	31867835	31867836	-	Cell Type PC2	2	0.25164880161716796	0.03830260121328194	0.9678731304086582	-0.028492300722383363	0.0069688247009199455	0.12509910614315817	-0.20558442756543704	-0.743873779321893	0.1819412906741021	3.2660733783213236	-5.367375088200221
cg00094518	chr7	130418548	130418549	+	Age	7	0.3405039179905315	0.05986563434248895	0.023819372327911592	0.20018187109146374	-0.023363003481930097	-0.02029809752709256	0.061595122010454306	3.3438528346034238	-0.39025734444357957	-0.339060927860013	1.0288894903889438
cg00292135	chr7	156433067	156433068	-	Age	7	0.27908140598807113	0.047702529870455736	0.012297868598083503	0.16316997389999557	0.0012662753378663918	0.020112902828648735	-0.020194848005749534	3.4205727524957514	0.02654524490221328	0.4216317852170255	-0.4233496223490043
cg01973676	chr7	101596403	101596404	-	Mixed	3	0.50647612211315	0.08596898059646503	0.5059871878622422	-0.17407333394088007	-0.0377691203488808	-0.282459717601356	-0.21888586922177056	-2.0248388748259485	-0.43933428181692125	-3.2856004065839826	-2.546102881563899
cg26311610	chr7	73593137	73593138	+	Mixed	3	0.3884891175851779	0.06221094481612926	0.4038882758262031	-0.11631544016071362	-0.029000559731638037	-0.1997513966166196	-0.1855948803368673	-1.8696941591949081	-0.4661649138644675	-3.210872254183007	-2.983315570683129
cg03753385	chr8	145579316	145579317	-	Cell Type PC2	5	0.3493633339902214	0.05763943168920092	0.4110125902999947	-0.05467099852793965	-0.03207473567566915	-0.11850934777116234	-0.3157673406495389	-0.9484999578540705	-0.5564721014013492	-2.056046430335741	-5.478321548210193
cg05494008	chr8	145579284	145579285	+	Mixed	5	0.334321492520178	0.056105625876274545	0.5176393460532	-0.04972673595781822	-0.05137292586355435	-0.12125531026987142	-0.2602078734843698	-0.8863056989592594	-0.9156466051522738	-2.16119699898307	-4.637821420229521
cg25017584	chr8	144824657	144824658	-	Cell Type PC2	2	0.40692525944367597	0.058276831044874106	0.8924350936090951	-0.05896812909384821	0.004303167794237034	0.18756031421581898	-0.312514032529707	-1.0118623136601541	0.07384011307896143	3.2184370847377495	-5.362577664682318
cg21252105	chr9	139459306	139459307	-	Mixed	3	0.4523827684072531	0.0754842908469058	0.6006763440432235	-0.11880860543453649	-0.05079935724870277	-0.24176273945867827	-0.24023457964240044	-1.5739514023586618	-0.6729791944622223	-3.202821895074986	-3.182577155419457
cg05971678	chr10	125770088	125770089	-	Cell Type PC1	9	0.7680659978215572	0.12454556309096063	0.9018539430528778	-0.005098398706129682	-0.03558168148992347	-0.7194410909779282	-0.04019677069287983	-0.04093601232832451	-0.28569208414061875	-5.77652927268466	-0.3227475125992446
cg10804656	chr10	22623459	22623460	+	Age	7	0.6705437131912969	0.07657597652229804	0.3819679764971371	0.27505250369482015	-0.021097899163915804	-0.1164918039222986	0.11694248109162851	3.5918902531360866	-0.2755159009663081	-1.521257830624955	1.5271431903656651
cg11705975	chr10	120354247	120354248	-	Age	7	0.558171736910242	0.06277666056074008	0.39414176809351087	0.22538008572807178	-0.030190387951383433	-0.05633274007513678	0.0633844652528547	3.5901891517469844	-0.48091739321132687	-0.8973516522216337	1.0096820169579828
cg13327545	chr10	22623547	22623548	-	Age	7	0.6755506452007684	0.05848791666265625	0.3776922125541433	0.2008171354572273	-0.029233027830229505	-0.06440930887565972	0.0823226107023835	3.433480741252771	-0.4998131152258053	-1.101241291379151	1.407514840667002
cg17384647	chr10	88717434	88717435	+	Mixed	3	0.32625274375579927	0.056947352726607024	0.4069700039556283	-0.07756714642509298	-0.03541941695154299	-0.14473201870897767	-0.22003444904239094	-1.3620852017033611	-0.6219677518915516	-2.5415056500309587	-3.863822258757713
cg02046143	chr11	133797910	133797911	+	Age	6	0.7228524860405077	0.0942893520402833	0.45018529542348523	-0.33890763484590447	-0.03693175486428173	0.06241174951504816	0.026275376351211764	-3.594336237469452	-0.3916853182796648	0.6619172596327096	0.27866748241080413
cg03470671	chr11	45115583	45115584	+	Cell Type PC2	2	0.327277064296179	0.042221300773867036	0.925575436421247	-0.030106151570033098	0.008120739008751765	0.10958230668469987	-0.2365567382830357	-0.7130559934967083	0.1923374898429968	2.595427063500755	-5.602781864775066
cg04265051	chr11	68079685	68079686	+	Age	7	0.47965707414005304	0.06873084580684274	0.40978728301295086	0.24312978241405128	-0.018257534946007795	0.03398035408593188	-0.004436112772291221	3.5374187464145193	-0.265638153170961	0.49439743810847797	-0.06454325885583047
